0.3763076,0.3266917,0.37587517,0.3098615,0.2548172,0.49764776,0.18439013,0.45188087
0.2924107,0.21651785,0.54352677,0.35974702,0.36309522,0.52566963,0.25818452,0.26525298
0.27081007,0.26754493,0.39819217,0.2456286,0.21001747,0.44813788,0.239176,0.28484446
0.43571427,0.24955358,0.3642857,0.5214286,0.31830359,0.50535715,0.38973215,0.35758927
0.42126542,0.41883898,0.39324874,0.41516334,0.40928286,0.4085428,0.3152305,0.51546025
-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20
0.36375,0.4015625,0.411875,0.46,0.3165625,0.6371875,0.234375,0.4490625
0.354237,0.24034002,0.4051941,0.38346142,0.21052635,0.5965625,0.19991755,0.37622622
